,n_step,n_env,n_pop,total_time,total_steps,step_per_sec,method
0,1000,100,1,38.38368797302246,100000,2605.2733669126287,fmm
1,1000,100,1,0.9137780666351318,100000,109435.76307126402,mml
2,1000,100,1,36.78172588348389,100000,2718.7413749093007,fmm
3,1000,100,1,0.7781240940093994,100000,128514.20585723702,mml
4,1000,100,1,36.94661498069763,100000,2706.6079004055973,fmm
5,1000,100,1,0.7823343276977539,100000,127822.5899843601,mml
6,1000,100,1,37.20605969429016,100000,2687.7342245232844,fmm
7,1000,100,1,0.9170417785644531,100000,109046.28593534861,mml
8,1000,100,1,38.97270703315735,100000,2565.898230136326,fmm
9,1000,100,1,1.1280503273010254,100000,88648.52709121598,mml
10,1000,100,1,38.69025278091431,100000,2584.630308989076,fmm
11,1000,100,1,0.7902863025665283,100000,126536.42063039774,mml
12,1000,100,1,39.27401900291443,100000,2546.212548111749,fmm
13,1000,100,1,0.7925891876220703,100000,126168.76631893056,mml
14,1000,100,1,38.64879846572876,100000,2587.402557641565,fmm
15,1000,100,1,0.8305394649505615,100000,120403.67040951218,mml
16,1000,100,1,36.30235242843628,100000,2754.6424215106294,fmm
17,1000,100,1,0.8409173488616943,100000,118917.75111473768,mml
18,1000,100,1,37.70649766921997,100000,2652.062805653535,fmm
19,1000,100,1,0.9495546817779541,100000,105312.52377457522,mml
20,200,500,1,28.37661838531494,100000,3524.028079813434,fmm
21,200,500,1,0.5924780368804932,100000,168782.62783633053,mml
22,200,500,1,29.92851185798645,100000,3341.295433415107,fmm
23,200,500,1,0.4338715076446533,100000,230482.98456579307,mml
24,200,500,1,29.842018365859985,100000,3350.9797753627313,fmm
25,200,500,1,0.3887028694152832,100000,257265.91663814496,mml
26,200,500,1,28.944370985031128,100000,3454.9032021361254,fmm
27,200,500,1,0.5645551681518555,100000,177130.60767358303,mml
28,200,500,1,30.79772710800171,100000,3246.9928592236442,fmm
29,200,500,1,0.40711355209350586,100000,245631.7149988463,mml
30,200,500,1,29.646230697631836,100000,3373.1100934861197,fmm
31,200,500,1,0.536008358001709,100000,186564.25502917467,mml
32,200,500,1,30.044034481048584,100000,3328.4477843040286,fmm
33,200,500,1,0.4201681613922119,100000,237999.94666100745,mml
34,200,500,1,29.30854296684265,100000,3411.9744578613827,fmm
35,200,500,1,0.4670860767364502,100000,214093.30095793938,mml
36,200,500,1,31.079683542251587,100000,3217.535978577581,fmm
37,200,500,1,0.445601224899292,100000,224415.90016409958,mml
38,200,500,1,30.26188325881958,100000,3304.4870058064153,fmm
39,200,500,1,0.45066142082214355,100000,221896.07403617902,mml
40,16,6250,1,26.513715267181396,100000,3771.6328697162908,fmm
41,16,6250,1,3.1573474407196045,100000,31672.15578188271,mml
42,16,6250,1,28.082862854003906,100000,3560.8905160373465,fmm
43,16,6250,1,3.236370086669922,100000,30898.814820926575,mml
44,16,6250,1,28.1500403881073,100000,3552.392771779025,fmm
45,16,6250,1,3.2653465270996094,100000,30624.62105325874,mml
46,16,6250,1,27.611501693725586,100000,3621.6791505665883,fmm
47,16,6250,1,3.2240419387817383,100000,31016.96624882826,mml
48,16,6250,1,27.736335277557373,100000,3605.3789730799144,fmm
49,16,6250,1,3.259615659713745,100000,30678.463487557874,mml
50,16,6250,1,27.676011562347412,100000,3613.2373978354503,fmm
51,16,6250,1,3.0664234161376953,100000,32611.282405987724,mml
52,16,6250,1,26.62605595588684,100000,3755.7195915788902,fmm
53,16,6250,1,3.2719719409942627,100000,30562.609277637246,mml
54,16,6250,1,28.052499055862427,100000,3564.744795138027,fmm
55,16,6250,1,3.2668590545654297,100000,30610.442118783845,mml
56,16,6250,1,27.88070273399353,100000,3586.7101684662725,fmm
57,16,6250,1,3.2451210021972656,100000,30815.491913025795,mml
58,16,6250,1,27.908809185028076,100000,3583.0980582878424,fmm
59,16,6250,1,3.2183492183685303,100000,31071.830064076374,mml
60,1000,10,10,34.91194701194763,100000,2864.348985342405,fmm
61,1000,10,10,0.7834947109222412,100000,127633.28023272975,mml
62,1000,10,10,36.694613456726074,100000,2725.195623546489,fmm
63,1000,10,10,0.8114414215087891,100000,123237.48498574381,mml
64,1000,10,10,40.29005241394043,100000,2482.0022315334545,fmm
65,1000,10,10,0.9976198673248291,100000,100238.58112224181,mml
66,1000,10,10,39.49579405784607,100000,2531.915166803297,fmm
67,1000,10,10,0.8804068565368652,100000,113583.84962306652,mml
68,1000,10,10,39.26489973068237,100000,2546.803905928684,fmm
69,1000,10,10,0.9498348236083984,100000,105281.46317072534,mml
70,1000,10,10,39.62265133857727,100000,2523.8088977311404,fmm
71,1000,10,10,0.8772542476654053,100000,113992.03852945165,mml
72,1000,10,10,39.657294034957886,100000,2521.604220193391,fmm
73,1000,10,10,0.9107365608215332,100000,109801.23594664372,mml
74,1000,10,10,36.34313488006592,100000,2751.5512993032876,fmm
75,1000,10,10,0.8596711158752441,100000,116323.55461680074,mml
76,1000,10,10,36.69042682647705,100000,2725.506587125245,fmm
77,1000,10,10,0.8558712005615234,100000,116840.01042959688,mml
78,1000,10,10,38.87940502166748,100000,2572.055820922929,fmm
79,1000,10,10,0.8601129055023193,100000,116263.80601927888,mml
80,200,50,10,28.93558430671692,100000,3455.9523298372324,fmm
81,200,50,10,0.5341808795928955,100000,187202.50727845402,mml
82,200,50,10,29.22479248046875,100000,3421.7522696467768,fmm
83,200,50,10,0.45625948905944824,100000,219173.52383430762,mml
84,200,50,10,30.11579465866089,100000,3320.5167299558993,fmm
85,200,50,10,0.4468803405761719,100000,223773.54947203086,mml
86,200,50,10,32.791818618774414,100000,3049.5411420318924,fmm
87,200,50,10,0.6126267910003662,100000,163231.51626573285,mml
88,200,50,10,32.33537173271179,100000,3092.588538230284,fmm
89,200,50,10,0.466611385345459,100000,214311.1015732381,mml
90,200,50,10,31.44941210746765,100000,3179.709676552429,fmm
91,200,50,10,0.5051412582397461,100000,197964.42751175712,mml
92,200,50,10,31.85926842689514,100000,3138.8040258821957,fmm
93,200,50,10,0.5564403533935547,100000,179713.78134265688,mml
94,200,50,10,31.460354328155518,100000,3178.6037422504414,fmm
95,200,50,10,0.41579723358154297,100000,240501.84061743828,mml
96,200,50,10,30.661656379699707,100000,3261.4024096300104,fmm
97,200,50,10,0.533174991607666,100000,187555.6835448585,mml
98,200,50,10,31.14593529701233,100000,3210.6918301340106,fmm
99,200,50,10,0.4467761516571045,100000,223825.73382463987,mml
100,200,1,10,1.773932695388794,2000,1127.4384903096104,fmm
101,200,1,10,0.1560990810394287,2000,12812.375234257943,mml
102,200,1,10,1.7512445449829102,2000,1142.0449563881539,fmm
103,200,1,10,0.154449462890625,2000,12949.21952183363,mml
104,200,1,10,1.776221752166748,2000,1125.9855350607395,fmm
105,200,1,10,0.14562034606933594,2000,13734.344506005475,mml
106,200,1,10,1.7712671756744385,2000,1129.1351341383424,fmm
107,200,1,10,0.14937138557434082,2000,13389.445323211638,mml
108,200,1,10,1.7615525722503662,2000,1135.3620842805842,fmm
109,200,1,10,0.14722275733947754,2000,13584.856282702587,mml
110,200,1,10,1.7522687911987305,2000,1141.377401712323,fmm
111,200,1,10,0.15208649635314941,2000,13150.411430058457,mml
112,200,1,10,1.7642102241516113,2000,1133.6517454782222,fmm
113,200,1,10,0.1568126678466797,2000,12754.071641427963,mml
114,200,1,10,1.7545890808105469,2000,1139.8680305682078,fmm
115,200,1,10,0.15708661079406738,2000,12731.829847814968,mml
116,200,1,10,1.7516582012176514,2000,1141.775261069606,fmm
117,200,1,10,0.1548769474029541,2000,12913.477657823803,mml
118,200,1,10,1.7534871101379395,2000,1140.584375235395,fmm
119,200,1,10,0.15433907508850098,2000,12958.481180823208,mml
120,1000,1,100,38.348164319992065,100000,2607.686750415507,fmm
121,1000,1,100,0.8634886741638184,100000,115809.27809717666,mml
122,1000,1,100,37.37503719329834,100000,2675.5826217058816,fmm
123,1000,1,100,0.9798312187194824,100000,102058.3934146205,mml
124,1000,1,100,37.565202951431274,100000,2662.038060310543,fmm
125,1000,1,100,0.879103422164917,100000,113752.2588112964,mml
126,1000,1,100,37.26277470588684,100000,2683.643415963917,fmm
127,1000,1,100,0.6205899715423584,100000,161136.98993792795,mml
128,1000,1,100,37.17301559448242,100000,2690.123424230424,fmm
129,1000,1,100,0.8843257427215576,100000,113080.50322299212,mml
130,1000,1,100,37.939176082611084,100000,2635.797882965457,fmm
131,1000,1,100,0.970757007598877,100000,103012.39055419793,mml
132,1000,1,100,37.092782497406006,100000,2695.942263349838,fmm
133,1000,1,100,0.7105875015258789,100000,140728.6221405037,mml
134,1000,1,100,36.59172797203064,100000,2732.858095043675,fmm
135,1000,1,100,0.9459230899810791,100000,105716.84004668948,mml
136,1000,1,100,37.40027642250061,100000,2673.777029622123,fmm
137,1000,1,100,0.9364633560180664,100000,106784.74428002155,mml
138,1000,1,100,38.593422651290894,100000,2591.11509501361,fmm
139,1000,1,100,0.799954891204834,100000,125007.04864668964,mml
140,200,5,100,28.452017545700073,100000,3514.689242665426,fmm
141,200,5,100,0.5011796951293945,100000,199529.23267208983,mml
142,200,5,100,29.396997928619385,100000,3401.7078969361432,fmm
143,200,5,100,0.4459836483001709,100000,224223.46734267406,mml
144,200,5,100,30.51000952720642,100000,3277.6128735990033,fmm
145,200,5,100,0.4439811706542969,100000,225234.77707991443,mml
146,200,5,100,31.019925832748413,100000,3223.734335767748,fmm
147,200,5,100,0.6113479137420654,100000,163572.97988946948,mml
148,200,5,100,30.928134202957153,100000,3233.3020590177935,fmm
149,200,5,100,0.44376420974731445,100000,225344.89668948605,mml
150,200,5,100,30.306002855300903,100000,3299.676320808791,fmm
151,200,5,100,0.5652029514312744,100000,176927.5969751539,mml
152,200,5,100,29.21958327293396,100000,3422.362292641928,fmm
153,200,5,100,0.4625589847564697,100000,216188.64468203657,mml
154,200,5,100,30.650039672851562,100000,3262.6385175147275,fmm
155,200,5,100,0.4583127498626709,100000,218191.6170343593,mml
156,200,5,100,32.385446071624756,100000,3087.8067814423985,fmm
157,200,5,100,0.6086342334747314,100000,164302.29274008077,mml
158,200,5,100,31.122692108154297,100000,3213.089653442914,fmm
159,200,5,100,0.416353702545166,100000,240180.40283706138,mml
160,200,1,100,7.123104572296143,20000,2807.764479239278,fmm
161,200,1,100,0.21722197532653809,20000,92071.71590229339,mml
162,200,1,100,7.961283206939697,20000,2512.1578368882024,fmm
163,200,1,100,0.21366524696350098,20000,93604.3661017857,mml
164,200,1,100,7.9332029819488525,20000,2521.0498263447744,fmm
165,200,1,100,0.22194218635559082,20000,90113.55762692382,mml
166,200,1,100,7.605988025665283,20000,2629.5071636338307,fmm
167,200,1,100,0.18558788299560547,20000,107765.65623345991,mml
168,200,1,100,7.548327922821045,20000,2649.5934204889945,fmm
169,200,1,100,0.19539141654968262,20000,102358.64171092979,mml
170,200,1,100,7.925988674163818,20000,2523.344509082329,fmm
171,200,1,100,0.21958708763122559,20000,91080.03669864226,mml
172,200,1,100,7.977331638336182,20000,2507.10399250386,fmm
173,200,1,100,0.21457362174987793,20000,93208.10189480515,mml
174,200,1,100,7.8338706493377686,20000,2553.016368950474,fmm
175,200,1,100,0.2116856575012207,20000,94479.71221141738,mml
176,200,1,100,7.991780042648315,20000,2502.571378750359,fmm
177,200,1,100,0.2190241813659668,20000,91314.1182643302,mml
178,200,1,100,8.004414558410645,20000,2498.621211339558,fmm
179,200,1,100,0.21863293647766113,20000,91477.52540040326,mml
